"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1272.79/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x3a675727a65592dc92943668c7ac5c14b218ef762a6be9a6673d3ee919e4b9b6","14174460","1644444150","2022-02-09 22:02:30","0xb2d2b619499b081d8ae5f399132ddf9be3ba6d22","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02282132006015484","29.0467479593645","3246.72","","","Whitelist Mint",""
"0xe00fadb16fa4362f118202ba94fe3c960e4658734cd9faaef01801f5e7d53870","14174460","1644444150","2022-02-09 22:02:30","0x2de926e06c901ac70d78c4c56f98ce672f562f50","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02282364593014604","29.0497083034306","3246.72","","","Whitelist Mint",""
"0x6933eaffa0f8ad2ef384fe53fde8d44bde9bd1273521c1e08602969440957649","14174460","1644444150","2022-02-09 22:02:30","0xb719648d1dad90ba504e81a1fb32af547c94041f","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.03586805518879212","45.6525019637427","3246.72","","","Whitelist Mint",""
"0x444b03f74182b51728f67a4f244847ab6904f352d4e138e73aa73bfdf272a76f","14174460","1644444150","2022-02-09 22:02:30","0x9fac1515a85ab73b54bbd6999067d0c189c96e7c","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02281992453816012","29.0449717529248","3246.72","","","Whitelist Mint",""
"0xf27039f630fe706617b990eb11d9fca2f00c4b29762865ce179180980ced6927","14174460","1644444150","2022-02-09 22:02:30","0xfa38b7ec2761f2071ad432ca65947ff8dbb97eeb","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.022383591327811","28.4896112061246","3246.72","","","Whitelist Mint",""
"0x1f741df7f51f7abcef0c7502719a239aabe0fca93f0747e37ef67e81fa0949a1","14174460","1644444150","2022-02-09 22:02:30","0x294296a512e75b0ed3301df1117abf246dbddb25","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.3","0","381.837","0.03571966468335356","45.4636320123256","3246.72","","","Whitelist Mint",""
"0x9024242df6dbe01a90a7f092812e95a413dbd211a217bea50ecd46450e8307ec","14174460","1644444150","2022-02-09 22:02:30","0x69cf78945fe339f9a98fbef2990e210100798788","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02282341334314692","29.049412269024","3246.72","","","Whitelist Mint",""
"0xa2167d2489e46fc200960f5177a40245aba7dc5b92463a3ca85b9c5456b57134","14174460","1644444150","2022-02-09 22:02:30","0xacd088f1f0da275d0d0a19638d6927555e0c719a","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02281899419016364","29.0437876152984","3246.72","","","Whitelist Mint",""
"0x497af06ccbabbaf3d04245e26ff5fe9f1b3369f1cfec2878dd90df39ff86ba00","14174460","1644444150","2022-02-09 22:02:30","0xd1435ba8514df2bb0258671c6af81698372c1d41","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.0228220178211522","29.0476360625843","3246.72","","","Whitelist Mint",""
"0x628be60b15dfc909a7f90c6d03d713dd6f020c52e2fe6090e33bd4e40e0d1085","14174460","1644444150","2022-02-09 22:02:30","0x2c4cafba1fb26ed9bd511f8364c798c5d0a62a49","0xa6e8c7b060c1c3a4b764864269dc2214e7fddee0","","0.15","0","190.9185","0.02267153403272156","28.8561018015077","3246.72","","","Whitelist Mint",""
